rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R66599584,a198645659,donald,s,drna,f,13,24/11/2007, 3645  scenic  highway  mary  valley ,brooloo,4570.0,qld, 07  3059  1609 ,drna12@mail.com,secondary-school,,0.0,,0,2020-01-02t01:43+00:00
R61075411,d175160411,george,scott,thompson,m,23,27/7/1995, 2  Mack  Street ,Wentworthville,2145.0,NSW,,george.thompson@mail.com.au,advance-diploma,other-technician,107469.0, 6905  5194  1564  8949 ,6,2018-12-12T07:29+00:00
R78756451,f187571654,paula,,johnson,f,46,7/8/1972, Back  Cam  Road ,Somerset,7322.0,TAS, 03  4926  7584 ,johe71@mail.com.au,graduate-certificate,health-professional,149135.0, 0659  6118  9630  3054 ,29,2018-09-25T22:02+00:00
R93810721,h109281137,elfriede,maria,eberhart,f,60,14/8/1956, 12  Ebenezer  Street ,Bonython,2905.0,ACT, 02  2230  1459 ,elfriede50@yahoo.com,advance-diploma,other-technician,105380.0, 0562  7883  8457  5683 ,45,2016-11-13T02:42+00:00
R52265101,a122051561,kenneth,leo,bucchi,f,29,6/9/1988, 22  Legune  Avenue ,Leanyer,812.0,NT, 08  9968  2083 ,nlendblbft@mail.com.au,diploma,engineering-worker,89092.0, 0825  2135  8162  4673 ,13,2017-05-22T08:23+00:00
R02026847,i127020486,felicia,elaine,cox,f,32,30/10/1988, 868  old  calder  highway  keilor  retirement  village ,keilor,3036.0,vic, 03  3232  0841 ,cox.felicia@yahoo.com,certificate-i,clerks,, 6392  0157  0650  1247 ,13,2020-03-12t06:10+00:00
R99314480,h181944309,denise,,spurling,f,72,26/6/1944, 30  Chalks  Road ,Lapoinya,7325.0,TAS, 03  5640  6137 ,denise16@mail.com,bachelor-degree,other-technician,-9999.0, 0471  9537  2259  3317 ,55,2014-09-22T09:02+00:00
R34202266,g103422266,crystal,knowlton,holt,f,29,27/9/1988, 18  Clear  Creek  Road ,Peel,2795.0,NSW,,holt38@aol.com,advance-diploma,ict-technician,146033.0, 1525  4039  5425  8904 ,13,2017-12-17T02:12+00:00
R47329263,d126297433,teresa,nelms,brinson,f,54,10/6/1963, 64  Parer  Drive ,Wagaman,810.0,NT, 08  7825  7817 ,smpienndgq@mail.com,bachelor-degree,ict-technician,-9999.0, 9646  1799  8655  1788 ,38,2017-08-05T10:57+00:00
R45490085,f195058440,charles,henry,cox,f,21,18/11/1998, 13  Manzelmann  Street ,Andergrove,4740.0,QLD, 07  9865  8635 ,,bachelor-degree,art-media-professional,-9999.0, 2831  3343  0947  8848 ,3,2019-03-20T23:33+00:00
R44162356,g114266534,leslie,,laster,m,54,13/6/1963, 1333  Gregory  Street ,Wendouree,3355.0,VIC, 03  1978  2700 ,laster.leslie@gmail.com,certificate-iii,engineering-worker,83730.0, 4506  8684  4502  6042 ,35,2014-08-05T16:02+00:00
R11621422,c126142121,roger,sky,grisdale,m,51,20/6/1969, 85  hester  street  camrai  village ,merriwa,6030.0,wa, 08  9198  0592 ,roger21@hotmail.com,doctoral-degree,health-professional,80047.0, 1336  3941  5406  0936 ,32,2020-05-20t22:01+00:00
R02526992,h159620229,tyler,,bullock,m,24,4/8/1996, 31  victor  street  chatsworth  plaza ,chatswood,2067.0,nsw, 02  8799  0271 ,tyler65@mail.com,advance-diploma,other-technician,132389.0, 7197  2855  2051  9350 ,5,2020-05-03t10:28+00:00
R42210094,e104012294,clyde,r,ruddock,m,41,10/6/1979, 175  Gosse  Crescent ,Yulara,872.0,NT, 08  3933  5407 ,clyde79@yahoo.com,senior-secondary-school,taxi-driver,, 7202  7565  2187  7502 ,21,2019-06-15T17:15+00:00
R06710641,i164167001,lottie,pilek,backus,f,10,26/5/2008,Eurobin,Gocup,2720.0,NSW, 02  3707  6763 ,jggmbkprno@yahoo.com,secondary-school,,0.0,,0,2018-06-19T18:36+00:00
R99804390,e189943009,sarah,,evans,f,20,24/12/1999, 256  blunder  road  forest  place ,durack,4077.0,qld, 07  3238  3878 ,evans90@gmail.com,certificate-iv,construction-worker,, 0190  4083  5730  4505 ,2,2019-08-05T16:37+00:00
R73674158,d113757648,james,swanson,weaver,m,53,14/9/1967, 32  Abrahams  Crescent , Alice  Springs ,870.0,NT,,james.weaver@mail.com.au,senior-secondary-school,other-labourer,10616.0, 5554  5878  2433  3940 ,32,2018-04-13T18:23+00:00
R45580411,e115140548,khalid,thomas,davis,m,59,10/6/1961, 25  bellevue  drive  parker  street , port  macquarie ,2444.0,nsw, 02  9610  9821 ,khalid.davis@mail.com.au,certificate-ii,engineering-worker,52701.0, 3477  6383  7363  1208 ,40,2020-02-06t01:17+00:00
R51268780,c187216850,alannah,ann,graham,f,42,21/11/1978, 73  Rednal  Street , Mona  Vale ,2103.0,NSW, 02  7746  6714 ,graham.alannah@hotmail.com,certificate-iv,other-technician,114365.0, 5057  9266  1386  8627 ,23,2020-07-19T22:51+00:00
R82497843,b148827349,donald,lester,schrader,f,40,5/2/1977, 23  Towrang  Avenue ,Goulburn,2580.0,NSW, 02  5438  1725 ,schrader.donald@aol.com,certificate-i,personal-assistant,37566.0, 7778  4387  3386  5014 ,24,2017-03-18T09:19+00:00
R44934234,i124344439,edward,andrew,coxe,f,61,13/10/1959, 15  Orbell  Way , Bull  Creek ,6149.0,WA, 08  8936  8648 ,coxe.edward@yahoo.com,certificate-ii,other-service-worker,30792.0, 9879  7846  2308  1348 ,41,2019-04-05T06:17+00:00
R67183302,f181302376,margaret,p,hipps,f,58,23/8/1960, 25  johns  road  homelands  caravn  park ,wyong,2259.0,nsw, 02  6141  7720 ,hipps98@mail.com,certificate-iv,ict-technician,, 4075  6184  1164  3116 ,39,2016-03-17T07:20+00:00
R21375020,h172120503,lucinda,,harrison,f,24,9/6/1995, 127  Birrell  Street ,Waverley,2024.0,NSW, 02  4976  9590 ,mccorkle.lucinda@mail.com.au,advance-diploma,health-professional,126295.0, 3226  1135  4989  7284 ,6,2019-12-19T16:38+00:00
R04147434,h103441744,darnell,jo,gregory,f,77,2/6/1941, 31  Redgum  Lane , Swan  View ,6056.0,WA, 08  4581  9358 ,darnell.alston@hotmail.com,graduate-diploma,legal-professional,116989.0, 4217  7358  5476  9243 ,53,2011-12-27T15:29+00:00
R93217176,g176371291,tarnisha,nichole,tilston,f,24,14/5/1996, 34  plantation  road  plantation  est ,edmonton,4869.0,qld,,tilston93@aol.com,secondary-school,part-time-worker,, 1794  5267  5133  1585 ,5,2020-07-15t05:55+00:00
R97164713,h167711439,savanna,cerise,schmoker,f,58,20/5/1959, 20  strangways  street  curtin  chmbrs ,curtin,2605.0,act, 02  4339  8255 ,savanna.schmoker@aol.com,certificate-i,carer,60378.0, 0880  4005  0190  4225 ,42,2017-10-20T17:32+00:00
R20462808,h120802684,thomas,thomas,kelly,m,34,9/10/1982, 164  Abbett  Street ,Scarborough,6019.0,WA, 08  0874  9913 ,kelly1@mail.com.au,bachelor-degree,other-technician,-9999.0, 9862  6483  8586  9737 ,19,2016-04-16T12:10+00:00
R89283540,h184250398,leroy,,fink,f,49,7/8/1971, 1  glenelg  highway  rosebank ,warrayure,3301.0,vic, 03  9558  3840 ,fink.leroy@yahoo.com,senior-secondary-school,taxi-driver,10729.0, 3739  4989  0328  1410 ,30,2020-04-11t12:48+00:00
R96406386,d160384696,sheri,devora,ramos,f,46,22/5/1974, 61  Twickenham  Drive ,Dubbo,2830.0,NSW, 02  1800  5332 ,,advance-diploma,legal-professional,101547.0, 1228  4690  4581  8412 ,27,2020-09-23T24:52+00:00
R26964978,b129674698,dariusz,wayne,murray,f,15,12/7/2005, 23  genoa  street  casa  genoa ,coolangatta,4225.0,qld, 07  4614  2491 ,dariusz32@yahoo.com,secondary-school,,0.0,,0,2020-04-14t10:32+00:00
R72031941,b123014791,charlton,wesley,noone,m,31,10/6/1989, 8  Darnum  Street ,Drouin,3818.0,VIC, 03  8074  7564 ,charlton84@aol.com,certificate-iv,construction-worker,55342.0, 7146  4584  8779  8704 ,12,2020-04-12T19:52+00:00
R99612276,g161622979,jessica,moore,everhart,f,43,16/9/1977, 95  ridge  street  apmnt  1 , north  sydney ,2060.0,nsw, 02  1954  0891 ,jessica18@mail.com.au,certificate-ii,other-worker,59407.0, 3748  5291  9950  8431 ,24,2020-02-27t01:27+00:00
R41261729,f172192614,shamika,taylor,hernandez,f,3,5/10/2013, Pippi  Street  Romiaca ,Yamba,2464.0,NSW, 02  1963  2876 ,,primary-school,,0.0,,0,2016-10-04T14:25+00:00
R67037637,h163707673,joseph,ernest,martin,f,27,27/3/1992, 20  Regent  Street ,Waverley,7250.0,TAS, 03  6870  5724 ,martin88@mail.com,diploma,construction-worker,91017.0, 1100  3301  2362  7938 ,9,2019-03-08T13:10+00:00
R37067733,i177603337,anthony,d,white,f,23,27/11/1995, 11  McCallum  Road ,Strathalbyn,5255.0,SA, 08  6386  3361 ,white.anthony@gmail.com,graduate-diploma,education-professional,140135.0, 7325  7661  2147  8752 ,6,2018-04-17T07:58+00:00
R11891058,a110191588,tamara,elizabeth,saxon,f,63,24/2/1956, 13  Massey  Street ,Broulee,2537.0,NSW, 02  7080  2431 ,saxon78@gmail.com,certificate-iv,engineering-worker,77336.0, 0770  2858  9142  5963 ,33,2007-12-24T10:35+00:00
R50429280,e109842250,tevin,michael,stice,m,55,1/12/1965, 68  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  6895  4632 ,stice.tevin@aol.com,certificate-ii,other-worker,79172.0, 1237  8801  8102  1760 ,21,2005-02-09t03:48+00:00
R96827328,b197283682,robert,eric,parker,m,30,2/6/1990, 21  Wellington  Road , Box  Hill ,3128.0,VIC, 03  0931  8207 ,gllsgdnbkb@aol.com,diploma,ict-technician,139600.0, 6656  9870  0215  8597 ,9,2018-02-27T14:25+00:00
R32335327,h133327253,charles,allen,spates,f,10,24/10/2010, 231  Fowlers  Lane ,Bangalow,2479.0,NSW, 02  9740  9496 ,,primary-school,,0.0,,0,2020-01-01T23:54+00:00
R28309260,e198622030,virgina,,plemmons,f,28,29/6/1991, 18  Tatiara  Avenue ,Croydon,3136.0,VIC, 03  2601  8813 ,ipndplgjef@aol.com,senior-secondary-school,construction-labourer,16173.0, 1004  4131  8624  9516 ,10,2019-04-02T21:12+00:00
R12991733,b127199331,deborah,,moye,f,27,10/3/1993, 28  eleventh  avenue  front  house ,sawtell,2452.0,nsw, 02  1723  6688 ,deborah12@gmail.com,certificate-iii,ict-technician,, 9328  8334  6600  3003 ,1,2013-11-10t17:12+00:00
R27832166,a168361227,william,,plyler,m,56,16/5/1962, 299  Fernleigh  Road ,Fernleigh,2479.0,NSW,,plyler.william@yahoo.com,advance-diploma,other-technician,82472.0, 8224  1097  3452  7234 ,38,2017-10-17T02:38+00:00
R60793363,b170663339,joseph,irving,brooks,m,23,23/1/1996, 1  Hawkins  Court ,Malak,812.0,NT, 08  8848  0375 ,brooks69@mail.com.au,advance-diploma,legal-professional,110201.0, 2059  4164  8955  5461 ,5,2019-07-15T09:24+00:00
R62153865,h156615328,patty,antoinette,brown,f,56,21/10/1960, 6  Nyinya  Avenue ,Gymea,2227.0,NSW, 02  6920  7724 ,rdabtmojhr@mail.com.au,bachelor-degree,art-media-professional,-9999.0, 0066  7857  5088  0489 ,40,2015-04-20T16:42+00:00
R71293551,a119253157,lamar,houston,krentz,f,24,23/4/1994, Channel  Highway , Garden  Island  Creek ,7112.0,TAS, 03  1668  7891 ,krentz.lamar@aol.com,diploma,other-technician,, 6443  4387  4284  4351 ,7,2018-11-21T02:11+00:00
R21344880,d101348284,rodney,edward,williams,m,65,7/3/1953, 98  Memorial  Avenue , Alice  Springs ,870.0,NT, 08  8336  1868 ,rodney98@aol.com,diploma,construction-worker,91825.0, 3388  4802  0422  2895 ,42,2012-08-04T12:19+00:00
R67812474,a116877442,charles,edwin,meadows,m,24,20/2/1996, 20  Bayview  Street , Batemans  Bay ,2536.0,NSW, 02  4537  7386 ,charles30@aol.com,senior-secondary-school,machinary-driver,19545.0, 0818  8741  1542  3345 ,5,2020-12-14T15:54+00:00
R27871589,c175288179,jasmine,yarborough,barnes,f,72,27/8/1948, 194  Goonoo  Goonoo  Road ,Tamworth,2340.0,NSW, 02  4689  7288 ,,advance-diploma,other-technician,130743.0, 3198  0511  4529  6173 ,48,2015-09-06T17:49+00:00
R86423175,a142315687,tracy,m,ellis,f,41,14/9/1978, 33  John  Street ,Waterloo,2017.0,NSW, 02  1668  1809 ,ellis.tracy@mail.com.au,diploma,ict-technician,120920.0, 4705  2592  0911  6019 ,20,2016-02-14T06:52+00:00
R82974328,i192837284,diane,brann,barry,f,67,6/10/1951, Draper  Road , Howard  Springs ,835.0,NT, 08  7321  8399 ,barry.diane@hotmail.com,certificate-i,clerical-worker,48589.0, 4362  5109  1957  7954 ,43,2011-04-27T16:32+00:00
R74921214,c194117422,joel,,way,f,55,7/5/1965, 3859  deviney  road  pinelands  industrial  estate ,berrimah,828.0,nt, 08  2125  2916 ,way.joel@gmail.com,certificate-i,secretary,49677.0, 3658  7618  6236  9835 ,31,2015-01-13t08:27+00:00
R21429725,h192217542,michelle,e,horne,f,26,19/7/1994, 1  hypo  hills  road  hopefull  hills , coober  pedy ,5723.0,sa, 08  5503  7799 ,michelle.horne@gmail.com,bachelor-degree,legal-professional,123958.0, 8742  5210  2510  7624 ,7,2020-03-26T06:47+00:00
R80802515,a150508812,joseph,edward,cant,f,57,13/9/1963, 33  Mallam  Crescent , Alice  Springs ,870.0,NT, 08  2709  6347 ,kcrjbmtgpm@yahoo.com,diploma,construction-worker,50198.0, 2701  5225  7064  7907 ,38,2020-10-22T10:49+00:00
R38167477,f117478736,jean,lourdes,booth,f,26,18/1/1994, 75  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  5747  1544 ,pptdklgicm@mail.com.au,certificate-ii,construction-worker,, 0270  1729  6622  1378 ,7,2020-02-25t16:30+00:00
R48293573,h124339578,john,tushaun,profit,m,33,23/11/1983, 16  Lindsay  Court ,Williamstown,3016.0,VIC,,,certificate-ii,other-worker,75457.0, 0063  9320  3688  8038 ,18,2016-06-07T17:59+00:00
R16917620,b126197610,matthew,william,medlin,m,59,30/12/1958, 75  Buckland  Street ,Chippendale,2008.0,NSW, 02  3267  2229 ,,senior-secondary-school,factory-worker,-9999.0, 9702  5024  4615  6440 ,37,2011-09-27T04:04+00:00
R10663270,i137626001,james,morrice,leach,m,75,13/2/1945, 21  Aylesbury  Close ,Jandakot,6164.0,WA, 08  5136  1117 ,james.leach@aol.com,certificate-iii,other-technician,113080.0, 9337  9108  8891  6672 ,56,2020-10-03T22:07+00:00
R94636069,h196660439,jeremiah,lynn,parshall,f,10,17/4/2010, 17  talara  road  villa  1 ,gymea,2227.0,nsw, 02  6858  8796 ,parshall.jeremiah@mail.com.au,primary-school,,0.0,,0,2020-03-20t03:32+00:00
R56911831,f169831511,robin,,calloway,f,32,23/9/1986, 54  kersley  road  kersley  mews ,kenmore,4069.0,qld, 07  2158  4815 ,ernsberger.robin@aol.com,certificate-ii,personal-services-worker,37531.0, 2224  6579  9382  5243 ,14,2017-01-10T12:50+00:00
R96707739,g170397697,paul,madison,booth,f,68,25/1/1952, 188  Lawrence  Hargrave  Drive ,Thirroul,2515.0,NSW, 02  8547  6845 ,paul.booth@mail.com.au,graduate-certificate,health-professional,, 0300  3657  4345  6247 ,47,2018-08-12T12:45+00:00
R39741457,c174153794,colin,alfred,klena,f,60,5/8/1958, 10  reef  street  railway  cottage ,maldon,3463.0,vic,,klena22@mail.com,certificate-ii,automotive-worker,65376.0, 4755  1674  7201  7376 ,39,2014-12-19T01:58+00:00
R25373145,h113457235,thomas,franklin,wicker,m,17,18/4/2003, 1  Bordin  Street ,Prospect,7250.0,TAS, 03  9547  2856 ,wicker.thomas@gmail.com,senior-secondary-school,casual-worker,0.0, 3531  1361  4606  2771 ,2,2020-08-04T07:26+00:00
R53431384,h114843533,lance,earl,wheeler,f,18,9/1/1998, 23  maleela  avenue  balwyn  manor ,balwyn,3103.0,vic, 03  2622  2714 ,,bachelor-degree,other-technician,109562.0, 4973  3395  9050  1379 ,3,2016-07-23T24:50+00:00
R02982929,c129802299,devin,gerald,vannoy,f,22,27/2/1994, 8  Arlaw  Street ,Toowoomba,4350.0,QLD, 07  8143  9394 ,hgdbnibhqk@hotmail.com,diploma,automotive-worker,50743.0, 3924  6165  6156  3600 ,7,2016-12-12T23:55+00:00
R16353344,c113343654,kevin,betton,robinson,m,42,16/1/1975, 31  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  6956  4729 ,ginroegkiq@mail.com,secondary-school,shop-assistent,-9999.0, 3249  4912  6680  0190 ,26,2017-05-03T07:22+00:00
R56225691,b162955162,ashley,kay,kohn,f,20,27/10/1999, 98  Laura  Street ,Clontarf,4019.0,QLD, 07  8513  0215 ,kohn.ashley@yahoo.com,certificate-ii,other-service-worker,31570.0, 5812  0488  5499  9712 ,2,2019-03-16T08:49+00:00
R38956075,c197685503,betsy,briana,varner,f,44,28/6/1974, 23  Gwynne  Street , Wynnum  West ,4178.0,QLD, 07  8852  8847 ,betsy96@yahoo.com,diploma,construction-worker,, 7256  5507  6790  2214 ,27,2018-01-15T14:58+00:00
R22939921,h132999122,timothy,karl,pettaway,m,28,24/5/1991, 4  Odstock  Street , Salisbury  North ,5108.0,SA, 08  5140  8090 ,pettaway.timothy@mail.com.au,graduate-certificate,ict-professional,93613.0, 5555  8970  6465  1097 ,8,2017-02-22T01:34+00:00
R48624372,d173642824,jimmy,delton,henderson,f,65,23/3/1954, 9  Neill  Street ,Mackay,4740.0,QLD, 07  9088  4750 ,kbdssfcicm@gmail.com,certificate-iii,other-worker,51774.0, 5792  5394  0553  7225 ,42,2014-08-14T02:19+00:00
R04824205,h144022085,euniqua,packer,thayer,f,68,8/3/1948, 3  Military  Road ,Moonta,5558.0,SA, 08  5135  1384 ,rltrniggri@aol.com,certificate-i,health-support-worker,78943.0, 8621  3498  0821  5213 ,53,2016-02-22T07:51+00:00
R37086432,a108623437,carolyn,renee,english,f,19,14/11/1999, 331  Sumners  Road ,Riverhills,4074.0,QLD, 07  1063  8840 ,rushing.carolyn@gmail.com,certificate-iv,construction-worker,-9999.0, 1848  2603  6835  4656 ,2,2018-07-17T12:04+00:00
R03518862,g188160523,francis,,pegues,f,55,19/9/1963, 25  Northumberland  Street ,Liverpool,2170.0,NSW, 02  6826  5102 ,francis.ekwonu@gmail.com,certificate-ii,personal-services-worker,-9999.0, 6913  9895  2797  6239 ,36,2016-10-03T22:52+00:00
R30203691,b123630019,david,aaron,meek,m,51,18/11/1969, 44  Jean  Street , New  Lambton ,2305.0,NSW, 02  7045  3091 ,david.meek@mail.com.au,senior-secondary-school,taxi-driver,-9999.0, 9225  3516  0391  8137 ,30,2018-07-18T18:02+00:00
R65463900,e166930045,jamaal,blair,stone,f,56,18/9/1960, 6  Cycad  Place , Alice  Springs ,870.0,NT, 08  0153  6079 ,sbdbmgasml@mail.com,masters-degree,art-media-professional,-9999.0, 4967  4433  9100  4383 ,32,2007-12-26T14:45+00:00
R49991739,i197419939,derrick,charles,oliveira,m,58,25/4/1962, 16  moore  street  the  globe , civic  square ,2608.0,act, 02  6296  6025 ,derrick.oliveira@gmail.com,advance-diploma,legal-professional,117773.0, 4542  6217  5295  6296 ,39,2020-04-11t07:47+00:00
R18278583,h151888273,deshema,denise,mayo,f,26,9/12/1994, Barmoya  Road , The  Caves ,4702.0,QLD, 07  7059  9823 ,lrdjsgsqhm@yahoo.com,diploma,other-technician,143038.0, 9137  2661  9704  3816 ,7,2020-04-12T13:06+00:00
R63948253,e123458693,timothy,wayne,cameron,f,63,10/3/1954, 9  Lemana  Road ,Nollamara,6061.0,WA, 08  2062  2087 ,cameron2@hotmail.com,certificate-iv,engineering-worker,, 6417  3420  4034  5040 ,46,2016-12-12T14:04+00:00
R58379658,e155863897,kelly,c,dawson,f,25,6/9/1994, 4  Parnoo  Place ,Orange,2800.0,NSW, 02  0367  7361 ,dawson12@aol.com,certificate-ii,personal-services-worker,73462.0, 8573  4855  9287  2980 ,4,2016-01-12T22:49+00:00
R00514989,a115009984,douglas,david,petrone,f,47,7/2/1973, 54  duell  road  whitsunday  pandanu ,cannonvale,4802.0,qld, 07  4735  8050 ,,bachelor-degree,ict-technician,, 5842  8538  5730  4423 ,27,2019-05-03t08:47+00:00
R99413242,i124939241,tierra,lee,zug,f,16,28/9/2000, Airstrip  Road ,Galiwinku,822.0,NT, 08  5550  8752 ,tierra.embling@mail.com,diploma,construction-worker,85407.0, 1569  5773  6004  3919 ,1,2016-02-14T05:41+00:00
R38026734,a143263087,anthony,lee,raby,f,10,17/10/2010, 31  fassifern  street  ettalong  bch  vlge ,ettalong,2257.0,nsw, 02  0792  5684 ,raby.anthony@hotmail.com,primary-school,,0.0,,0,2020-02-20t23:05+00:00
R55829430,h108535429,william,e,hubbard,m,50,14/11/1970, 31  Lansell  Road ,Cowes,3922.0,VIC, 03  3876  3219 ,,graduate-diploma,chief-executive,147598.0, 3175  3254  0892  4677 ,31,2020-06-03T07:16+00:00
R71856819,b176581198,latitia,marie,splawn,f,92,18/12/1927, 4  Booner  Street , Hawks  Nest ,2324.0,NSW, 02  4617  1972 ,,bachelor-degree,re-tired,0.0, 7423  5855  9869  7418 ,45,2019-03-03T01:50+00:00
R32038959,h109329538,amanda,sigmon,blinson,f,82,26/7/1938, 1  yarrawa  road  somerset , moss  vale ,2577.0,nsw,,blinson59@yahoo.com,masters-degree,re-tired,0.0, 2992  2915  4738  3713 ,45,2020-04-18t07:46+00:00
R72933665,g163792653,kelly,anthony,street,m,24,15/4/1993, 31  Santa  Ana  Mews ,Currambine,6028.0,WA, 08  8024  4081 ,ragfmjphns@gmail.com,certificate-iv,construction-worker,65722.0, 4325  9479  1868  3783 ,8,2017-08-17T09:52+00:00
R03327396,c123363970,anthony,thomas,gibson,m,66,3/7/1951, 3  Peachey  Court , Pascoe  Vale ,3044.0,VIC, 03  3616  8932 ,htqtdrhhrc@hotmail.com,graduate-diploma,legislator,110044.0, 4523  0288  7307  9743 ,37,2004-03-09T08:51+00:00
R87265830,g128560837,ray,eugene,isaacson,m,56,17/2/1961, 31  Rickard  Road ,Unanderra,2526.0,NSW, 02  9146  7183 ,adblnlpnsh@gmail.com,senior-secondary-school,cleaner,10791.0, 6904  7968  7538  5035 ,40,2017-04-20T15:21+00:00
R94023475,g179244530,isidro,,bowser,f,34,3/7/1986, 131  macquarie  street  hudson  house ,sydney,2000.0,nsw, 02  1330  7478 ,ikkpdksgoi@yahoo.com,certificate-iii,other-worker,-9999.0, 0708  2324  2235  9422 ,15,2020-04-06t12:12+00:00
R53357040,a104305573,gina,knight,turner,f,62,2/3/1955, 4  Jenner  Court , Hampton  Park ,3976.0,VIC, 03  8578  9552 ,turner44@mail.com,senior-secondary-school,other-clerical-worker,-9999.0, 2810  3496  7004  8197 ,46,2017-10-18T09:53+00:00
R16951469,a191596146,norman,craig,braun,m,60,22/1/1959, 7  Chiswick  Court ,Rowville,3178.0,VIC, 03  8982  8737 ,braun83@mail.com.au,certificate-ii,other-service-worker,55971.0, 0200  5988  4815  9031 ,42,2019-11-07T18:02+00:00
R46727736,e174236767,gaye,marie,hale,f,75,2/8/1943, 9  Maple  Crescent ,Blayney,2799.0,NSW, 02  8474  1647 ,hale.gaye@yahoo.com,certificate-iii,re-tired,0.0, 5451  7949  5134  0074 ,45,2018-09-22T08:08+00:00
R25226032,e103222652,patrick,forrest,battern,f,63,2/3/1955, 130  Mountford  Crescent ,Albury,2640.0,NSW, 02  2441  1590 ,patrick.karp@hotmail.com,senior-secondary-school,construction-labourer,10075.0, 4019  3796  4247  6372 ,45,2017-02-04T05:14+00:00
R78138237,b182137837,bernice,ruth,belcher,f,46,25/2/1974, 1150  werombi  road  allowah ,werombi,2570.0,nsw, 02  3538  0502 ,bernice.belcher@gmail.com,certificate-iii,ict-technician,82073.0, 4281  3963  3082  0950 ,25,2018-01-05t14:36+00:00
R11739415,b111975431,joseph,brian,gonsalez,m,61,22/7/1959, 4  bannerman  street  barongarook ,bendigo,3550.0,vic, 03  0649  9892 ,kbdekkcaap@gmail.com,senior-secondary-school,clerks,47012.0, 6315  8466  2611  6545 ,40,2018-07-02T12:41+00:00
R95004155,b151405095,gary,cleveland,farrington,m,82,18/2/1936, 11  Kiandra  Street , Chapel  Hill ,4069.0,QLD, 07  9916  7631 ,gary.farrington@mail.com.au,bachelor-degree,re-tired,, 3958  0082  8076  7151 ,45,2018-04-24T05:14+00:00
R81649976,c149661798,juanita,lynn,dixon,f,12,11/1/2008, 4  brahman  way  sherwood  park ,casino,2470.0,nsw, 02  7674  6604 ,dixon56@hotmail.com,secondary-school,,0.0,,0,2020-07-02t14:37+00:00
R25093183,f183235091,carl,robert,killian,m,52,23/2/1964, 64  Eildon  Road ,Windsor,4030.0,QLD, 07  0847  8341 ,killian2@gmail.com,bachelor-degree,ict-professional,124815.0, 2990  5792  9228  3328 ,31,2010-03-18T09:46+00:00
R78950270,e170872905,bryan,lynell,gambill,m,23,11/10/1995, 103  the  parade  flt  12 , ascot  vale ,3032.0,vic, 03  4717  8328 ,rdcmtprhlo@gmail.com,diploma,ict-technician,120806.0, 7656  3481  1529  2807 ,6,2018-12-25T03:24+00:00
R29373644,f136344279,peggy,,mcnear,f,37,23/5/1980, 13  Houston  Street ,Wanniassa,2903.0,ACT, 02  4648  9107 ,peggy17@yahoo.com,masters-degree,education-professional,126584.0, 9123  3339  0745  1743 ,21,2017-09-27T18:08+00:00
R95771662,e116269577,leonard,p,britt,m,47,28/10/1971, 20  Watkins  Street ,Merewether,2291.0,NSW, 02  5012  7126 ,britt43@hotmail.com,certificate-i,secretary,44144.0, 2560  2926  6064  5971 ,30,2018-12-13T13:08+00:00
R01227864,f128714602,nancy,tyese,martin,f,38,25/1/1979, 4  Towri  Place ,Marsfield,2122.0,NSW,,nancy.martin@aol.com,diploma,construction-worker,83225.0, 3738  7685  2391  3782 ,21,2016-06-15T07:27+00:00
R34880013,g134180083,shiles,b,braswell,f,25,23/9/1994, 8  Rein  Road ,Greystanes,2145.0,NSW, 02  1828  6498 ,eokrlnbhsq@mail.com,certificate-ii,construction-worker,69595.0, 7037  3213  4544  3588 ,4,2016-10-16T19:40+00:00
R53974954,i157995344,nathan,charles,hiller,m,42,12/12/1975, 19  Brenda  Court , Collingwood  Park ,4301.0,QLD, 07  0014  3885 ,hiller.nathan@aol.com,advance-diploma,art-media-professional,-9999.0, 3310  7614  0105  1662 ,26,2017-05-18T01:23+00:00
R63114214,c113644121,dorothy,krell,wasson,f,36,19/7/1984, 708  maidens  brush  road  henry  kendall  vlge ,wyoming,2250.0,nsw, 02  9882  1972 ,wasson.dorothy@gmail.com,certificate-iii,ict-technician,111535.0, 3057  9983  8328  9529 ,14,2017-07-09t17:36+00:00
R46212174,f141167422,stacy,ray,schneider,m,54,26/12/1963, 112  Nyleta  Street , Coopers  Plains ,4108.0,QLD, 07  6193  2551 ,stacy.schneider@mail.com,advance-diploma,education-professional,90699.0, 9459  1282  3665  8796 ,36,2015-01-27T06:44+00:00
R97361010,b109731106,quintin,mitchell,buddenberg,f,53,5/6/1965, 31  Vaughan  Street ,Mareeba,4880.0,QLD,,buddenberg.quintin@mail.com,senior-secondary-school,clerical-worker,47521.0, 7337  9338  1606  6097 ,36,2018-09-16T10:14+00:00
R37994814,c181974934,loel,franklin,courtney,f,60,8/7/1960, 4  Adam  Court , Happy  Valley ,5159.0,SA, 08  9752  8124 ,dqcesloqfi@aol.com,secondary-school,un-employed,-9999.0, 6861  0148  9786  8164 ,41,2020-11-11T09:02+00:00
