rec_id,ssn,first_name,middle_name,last_name,gender,age_at_consultation,birth_date,medicare_number,street_address,suburb,postcode,state,phone,email,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
rec-98205,c196431015,shawn,deron,puckett,f,24,26/1/1993, 2442  48979  2  3 , 3  heard  street  belmont  est ,mawson,2607.0,act, 02  5474  1373 ,,not-married,165,-99,22,69,149,1,diarhea,2017-05-19t01:15+00:00
rec-24577,f105264188,lauren,blanton,collier,f,44,19/1/1968, 4790  98858  1  1 , 2  antis  street  norfolk  garden ,phillip,,act, 02  6070  0407 ,,not-married,173,64,21,74,170,0,fall,2012-04-20t09:18+00:00
rec-6368,d165870515,whitney,laverne,vaughn,f,25,31/3/1992, 6667  59243  1  3 , 1  osprey  drive  the  palms ,yamba,2464.0,nsw, 02  1025  3209 ,vaughn.whitney@aol.com,not-married,174,143,47,77,119,0,musculoskeletal-pain,2017-10-20t22:31+00:00
rec-50719,b184474665,shaquanna,jean,holtsclaw,f,54,23/12/1964, 6123  81903  1  1 , 464  boundary  road  goldridge ,marrar,,nsw,,,married,165,96,35,73,98,0,low-energy,2018-01-10t15:24+00:00
rec-97865,i119362697,joseph,,long,m,19,1/11/1998, 4933  78620  2  2 , 160  o  g  road  aldersgate ,felixstow,5070.0,sa, 08  4219  5312 ,joseph78@hotmail.com,married,194,59,15,74,138,0,nausea,2017-06-20t19:43+00:00
rec-85787,d106306784,oscar,d,rogers,f,21,29/1/1991, 4955  52221  2  3 , 1  hobart  place  amp  tower , canberra  city ,2601.0,act, 02  9416  9553 ,rogers.oscar.yahoo.com,not-married,177,68,21,77,147,0,constipation,2014-07-21t19:30+00:00
rec-64162,a162521228,lauren,,sampson,f,18,12/12/2001, 7863  73356  1  3 , 31  navigators  way  the  anchorage , tweed  heads ,2485.0,nsw, 02  5081  8524 ,sampson.lauren@aol.com,not-married,167,57,20,70,117,0,bucket-handle-tear-right-knee,2019-09-06t18:45+00:00
rec-780,f184201405,sergey,w,blackmon,m,54,22/5/1965, 4811  45864  2  2 , 121  johnston  street  medical  centre ,tamworth,2340.0,nsw, 02  7298  9991 ,sergey.blackmon@aol.com,married,194,66,17,73,101,0,coughing,2019-07-15t04:57+00:00
rec-73428,f181225109,justice,thomas,murray,f,41,18/7/1970, 1424  91749  2  1 , 395  moredun  street  marimba ,guyra,2365.0,nsw, 02  0196  3607 ,justice.murray@mail.com.au,not-married,182,63,19,65,257,0,right-shoulder-pain,2011-07-10t24:16+00:00
rec-56802,h157454013,paige,m,mcclamb,f,52,27/2/1965, 1073  98264  1  2 , 609  leakes  road  grenadier  park ,rockbank,3335.0,vic,,,not-married,191,131,35,75,221,0,sciatica,2017-10-25t06:27+00:00
rec-35124,c145068580,bradley,matthew,kvvotidis,m,17,19/10/1999, 3638  25580  1  3 , 1550  inglewood-powlett  plains  road  cooinda , powlett  plains ,,vic, 03  2810  7914 ,rmatbpntgd@aol.com,married,173,93,31,80,190,0,soreness-at-lp-site,2016-08-11t17:07+00:00
rec-65953,a177831513,kelvin,rhodes,hudson,f,16,22/6/1999, 8869  66349  1  3 , 520  wallan-wandong  road  elington ,wandong,,vic, 03  1931  2491 ,hudson88@aol.com,married-de-facto,183,72,21,72,194,0,depression,2015-06-01t12:48+00:00
rec-62712,g138272016,susan,carter,noens,f,62,31/7/1952, 1046  84263  1  2 , 16  king  william  street  melville  court , kent  town ,5071.0,sa,,,married,185,122,35,77,145,1,vasovagal-reaction-during-lumbar-puncture,2014-08-06t24:29+00:00
rec-52723,c123350862,george,,mcneill,m,43,29/12/1974, 5281  64664  2  1 , 1  bayside  boulevard  goughs  bay ,piries,3723.0,vic, 03  1501  3956 ,mcneill.george.gmail.com,married,186,129,37,75,174,0,fall,2017-09-20t16:57+00:00
rec-79533,a152206282,jerry,h,mustafa,f,7,2/11/2013, 2058  32657  2  2 , 110  hoare  street  cairns  west  medical  centre ,manunda,4870.0,qld,,,,122,24,16,76,198,0,right-hip-replacement-surgery-outpatient,2020-02-14t12:47+00:00
rec-29715,c185235925,marquill,l,williams,m,52,16/6/1959, 4200  21496  2  1 , 735  dickins  road  kullaroo , freshwater  creek ,3216.0,vic, 03  7278  7772 ,,married,172,139,46,74,240,0,urinary-frequency,2011-10-18t19:11+00:00
rec-96211,a132549838,william,joseph,barefoot,f,57,29/4/1961, 1598  38703  1  1 , 3270  bucketts  way  rombo  farm ,craven,,nsw, 02  4704  3150 ,,not-married,188,59,16,74,168,0,depression/bereavement,2018-11-24t02:09+00:00
rec-44102,f112363305,james,lee,jones,m,62,12/1/1951, 8913  79631  1  2 , 1  eatons  lane  gumnut  hill ,woodford,4514.0,qld, 07  9423  4432 ,,not-married,191,147,40,71,181,0,urinary-tract-infection,2016-09-03t20:03+00:00
rec-47172,e130350753,holly,tyson,klose,f,51,15/9/1964, 3624  61545  1  1 , 510  marmion  street  villa  136 ,booragoon,6154.0,wa, 08  3898  1966 ,klose54.gmail.com,married-de-facto,195,92,24,78,125,0,headache,2017-05-17t06:59+00:00
rec-7946,c190130838,joseph,gordon,bunn,m,55,4/4/1956, 5204  72975  2  2 , 44  carabella  street  elm  house ,kirribilli,2061.0,nsw, 02  3104  5937 ,joseph.bunn.gmail.com,separated,181,85,25,68,117,0,diarrhea,2012-11-14t22:02+00:00
rec-50702,h187701868,ronald,julius,robinson,m,41,6/3/1976, 9497  69473  2  2 , 80  the  esplanade  colonial  townhouse ,darwin,800.0,nt,,robinson99@hotmail.com,married,185,102,29,77,225,0,fungus-on-toenail,2017-05-27t24:36+00:00
rec-83815,g191388778,christopher,elbert,bass,f,59,7/4/1957, 5094  12111  2  1 , 24  harrier  parade  calala  farm ,tamworth,,nsw, 02  5437  0744 ,bass.christopher@mail.com.au,married-de-facto,198,-99,35,75,203,0,fall,2016-01-15t03:32+00:00
rec-97253,h188216849,richard,graves,mcgregor,f,54,29/11/1959, 7892  48741  1  2 , 11  watt  circuit  the  annie , west  lakes  shore ,5020.0,sa, 08  6733  8737 ,,married,165,100,36,77,237,1,irritable-bowel-syndrome,2016-04-11t20:45+00:00
rec-45646,i119817685,emily,denise,meyer,f,29,3/4/1986, 6425  81762  1  2 , 2  bilsden  street  kalgoorlie  vlge  caravn  park , kalgoorie  west ,6430.0,wa, 08  5134  5864 ,,married-de-facto,180,147,45,74,165,0,distorted-vision-right-eye,2015-07-12t07:47+00:00
rec-56797,i106790358,davon,p,pearce,m,22,7/12/1991, 7243  25248  2  3 , 3  haggis  street  athelstone  photos ,athelstone,5076.0,sa, 08  3709  2183 ,pearce.davon@mail.com,married-de-facto,178,100,31,72,60,0,testosterone-deficiency,2013-11-11t12:55+00:00
rec-17198,g115865549,warren,,chamberlain,m,8,4/8/2012, 6288  45473  2  2 , 49  bullcreek  drive  air  force  memorial  est , bull  creek ,6149.0,wa, 08  2126  6252 ,,,127,29,17,78,195,0,facial-edema,2020-07-26t07:42+00:00
rec-92507,f134803217,pressly,lee,deblanc,f,66,9/9/1953, 9722  11648  2  1 , 50  princes  highway  flt  6 ,dandenong,,vic,,deblanc54@hotmail.com,married,186,119,34,77,223,0,hypoglycemia,2019-12-14t11:01+00:00
rec-10265,g137825048,brandy,lutz,bryan,m,35,19/1/1985, 9487  55390  1  2 , 305  lynes  road  woodrose , five  ways ,3977.0,vic, 03  7831  3341 ,lckhdsmdqo@mail.com.au,married,180,128,39,71,159,0,constipation,2020-03-04t10:21+00:00
rec-95408,f165356564,james,thomas,integlia,f,29,11/12/1986, 5645  40364  2  2 , 15  third  avenue  avoca  drive , green  point ,2251.0,nsw, 02  7221  3961 ,james.integlia@hotmail.com,married,173,61,20,76,104,1,anemia,2015-08-04t07:33+00:00
rec-71335,i177313133,edward,,butler,f,56,21/4/1960, 2265  39277  1  2 , 17  university  avenue  palm  plaza ,palmerston,,nt, 08  1774  4381 ,butler12@mail.com,married,165,87,31,73,189,0,nausea,2016-11-14t21:58+00:00
rec-27779,e137536595,cris,maria,vanvliet,f,60,26/9/1959, 2808  77992  1  2 , 368  oxley  drive  lakeview  court ,coombabah,4216.0,qld, 07  3012  5059 ,vanvliet.cris@hotmail.com,married,174,144,47,79,136,1,upper-respiratory-infection,2019-05-06t21:43+00:00
rec-91604,f179931178,brandon,fitzgerald,goodwin,f,12,26/11/2004, 3108  81298  1  3 , 133  lennox  street  cornet  place ,maryborough,4650.0,qld, 07  4550  5752 ,brandon.goodwin.hotmail.com,,172,72,24,79,133,0,fall,2019-12-12t06:31+00:00
rec-89240,f192236985,william,patton,johnson,m,10,25/12/2002, 7904  70909  1  2 , 81  smith  street  aant  house ,darwin,800.0,nt, 08  0321  7598 ,william.johnson@hotmail.com,,135,52,28,73,173,0,cararact-in-left-eye,2012-08-19t18:28+00:00
rec-37249,b175423199,peggy,haught,minshew,f,55,31/10/1959, 4022  86562  1  1 , 116  station  road  flt  1 ,foster,,vic, 03  7852  7754 ,minshew51@yahoo.com,not-married,181,135,41,77,135,0,difficulty-falling-asleep,2014-03-18t07:46+00:00
rec-80591,c137343157,michael,peter,eil,f,16,4/5/1996, 2755  75705  2  2 , 1  lawrence  court  hillsend , the  patch ,,vic,,mfngppomqd@hotmail.com,married-de-facto,166,57,20,74,63,0,blurred-vision-from-cataract,2012-06-19t17:33+00:00
rec-52042,c191950378,hubert,edward,moore,f,51,19/9/1966, 1595  59733  2  1 , 1  crawfords  road  talinga ,sarsfield,3875.0,vic, 03  9255  9742 ,hubert31.mail.com.au,not-married,180,-99,18,72,152,0,fall,2017-10-03t01:42+00:00
rec-76006,h142562864,leforice,,boone,f,37,8/12/1982, 1327  92936  2  2 , 81  archer  street  woodford  hotel ,woodford,4514.0,qld,,leforice70@yahoo.com,not-married,181,116,35,74,276,0,diarrhea,2019-07-04t13:49+00:00
rec-81207,a112329313,john,carter,gwinn,m,17,11/2/2000, 1775  90309  1  2 , 2  queens  road  blue  mountain  villages ,katoomba,2780.0,nsw, 02  7114  5432 ,,married,167,87,31,75,176,0,bladder-incontinence,2017-04-17t03:37+00:00
rec-35366,h138015522,kendall,day,spears,f,61,28/12/1954, 2534  93049  1  2 , 1  clancy  road  butterfield  park , gawler  belt ,5118.0,sa, 08  2475  2200 ,,not-married,167,85,30,71,215,0,medial-meniscus-tear,2015-04-13t17:04+00:00
rec-16231,i123848015,melissa,johnson,welsch,f,47,4/3/1968, 7703  50933  2  2 , 27  sherbrooke  street  goodwin  cottage ,ainslie,,act,,nfqqptbdqm@aol.com,married,185,57,16,80,106,1,back-pain-(sciatica),2015-09-09t16:17+00:00
rec-32875,d145473342,kathryn,julia,abernathy,m,37,30/12/1973, 8360  79252  2  2 , 5  harrisons  lane  learning  earth  farm , cardiff  heights ,2285.0,nsw,,ghiihmmpoe.mail.com.au,married-de-facto,197,-99,20,75,214,0,chest-pain,2011-08-02t14:17+00:00
rec-94656,a156977043,john,eliot,hansley,f,52,25/6/1962, 9517  81183  1  1 , 114  bakers  lane  emmaus  vlge , kemps  creek ,2171.0,nsw,,,not-married,194,-99,22,77,212,1,basal-cell-carcinoma,2014-12-11t15:59+00:00
rec-73433,c198595676,karl,,kozak,f,26,31/12/1993, 7175  76853  1  1 , 92  bias  avenue  elderslee  vlge , bateau  bay ,2261.0,nsw, 02  3846  7576 ,hlhttobckk@aol.com,married,165,131,48,73,241,1,dizzyness---vertigo,2019-06-21t06:31+00:00
rec-11209,b165430911,grace,shernette,groudle,f,45,2/3/1968, 3616  77720  2  1 , 161  strickland  crescent  canberra  specialist  centre ,deakin,2600.0,act,,dkoaftnlci@yahoo.com,married,168,57,20,77,171,0,heart-attack,2013-05-25t03:02+00:00
rec-10864,a159298246,betty,s,triplett,m,52,12/6/1963, 3902  12980  1  2 , 10  moorabool  street  flr  2 ,geelong,3220.0,vic, 03  9979  3736 ,betty.triplett@yahoo.com,not-married,186,87,25,74,146,0,flu,2015-03-05t13:36+00:00
rec-47989,e158416950,steven,euegen,lingenfelter,m,40,7/11/1977, 1355  28987  2  2 , 282  patrick  estate  road  patrick  estate , patrick  estate ,4311.0,qld,,lingenfelter.steven@gmail.com,not-married,169,110,38,72,238,0,gerd,2017-04-11t16:56+00:00
rec-72819,c183884165,ailoan,devonte,tran,m,50,7/6/1968, 1406  29868  2  1 , 55  wetherby  road  flea , howard  springs ,835.0,nt, 08  9821  0673 ,eiljgsirqq@mail.com,married,175,81,26,75,257,1,nose-skin-abnormality,2018-10-13t24:47+00:00
rec-8739,e145104393,thomas,lee,burch,m,10,2/7/2010, 2332  61267  2  3 , 234  bimbi  road  sherwood ,grenfell,2810.0,nsw, 02  1968  2721 ,thomas63.hotmail.com,,149,42,18,79,168,0,atrial-fibrillation,2020-06-23t07:39+00:00
rec-74549,e159254459,james,,barber,f,54,21/8/1962, 7167  83684  2  1 , 3  parap  road  parap  village  shopping  centre ,parap,820.0,nt, 08  2665  2843 ,hdgemlfpkq@mail.com.au,divorced,193,124,33,74,236,0,hip-replacement---left,2016-10-05t01:21+00:00
rec-15108,h143681259,ryan,scott,lee,m,59,5/10/1960, 9342  75243  1  1 , 1  tara  street  flt  5 ,maldon,3463.0,vic, 03  6370  3001 ,lee66@yahoo.com,married,166,84,30,73,18,0,low-energy,2019-06-21t07:27+00:00
rec-27200,h119265647,denise,kay,warren,f,57,11/10/1954, 3505  39801  1  1 , 246  begonia  boulevarde  north  star  caravan  park , hastings  point ,,nsw, 02  9464  2447 ,denise64@hotmail.com,not-married,171,-99,22,69,198,0,skin-rash,2011-07-20t13:50+00:00
rec-95337,i144920530,michael,gene,marks,f,61,12/6/1955, 3139  88589  2  1 , 80  the  esplanade  colonial  townhouse ,darwin,,nt, 08  7554  5231 ,michael.marks@mail.com,married,194,144,38,77,165,0,dizziness-on-standing,2016-08-27t13:41+00:00
rec-15944,b103173458,daniel,mark,shuster,m,46,2/9/1969, 7594  82452  1  2 , 1  forest  grove  villa  4 ,epping,2121.0,nsw, 02  5309  4099 ,daniel3@mail.com,married-de-facto,199,61,15,72,21,1,ankle-swelling-on-right,2015-10-06t12:28+00:00
rec-31111,e185265682,joseph,louis,barrow,m,57,14/9/1960, 8689  31495  2  2 , 330  fullarton  road  stow  court ,fullarton,5063.0,sa, 08  9540  5831 ,,not-married,166,89,32,76,264,0,dermoid-cyst-right-ring-finger,2017-07-10t13:26+00:00
rec-58431,h106444774,ivan,james,holshouser,m,20,30/4/1993, 7347  27601  1  2 , 15  crimea  street  flt  1 , st  kilda ,3182.0,vic,,holshouser85@gmail.com,married,182,102,30,74,257,0,gait-and-balance-disturbance,2013-02-14t21:08+00:00
rec-31416,a127470445,william,david,freeze,m,26,6/11/1991, 2505  81044  1  1 , 7  laffing  waters  lane  inverarden ,bathurst,2795.0,nsw, 02  9146  2809 ,,married,169,69,24,73,87,0,low-energy,2017-09-17t21:22+00:00
rec-43415,f156711181,george,dupree,huywh,f,67,6/10/1949, 6101  97592  2  2 , 258  spring  street  yukana  retirement  village ,toowoomba,4350.0,qld, 07  0318  6094 ,rnnndhebnn@hotmail.com,not-married,189,64,17,73,162,0,cervical-stabilization-surgery-and-stenosis-removal,2016-11-16t24:29+00:00
rec-82347,c189083013,burma,,rampersad,f,31,18/2/1985, 5720  62536  1  2 , 20  franklin  street  manuka  arcade ,manuka,,act, 02  9358  8251 ,agtqdbkojj@mail.com,not-married,165,98,35,78,115,0,sinus-infection,2016-02-19t17:53+00:00
rec-51678,h191341278,kathy,girish,hansen,f,18,21/9/1999, 9574  81341  2  2 , 113  poinciana  avenue  tewantin  plaza ,tewantin,4565.0,qld,,jmjmbrejic@mail.com,married-de-facto,175,86,28,73,207,1,lower-back-pain,2017-05-18t13:27+00:00
rec-5290,g170291541,carmen,rufinac,miles,f,47,18/7/1967, 3388  57142  2  2 , 1  diura  street  maroochy  river  home  park ,maroochydore,4558.0,qld, 07  6064  9693 ,carmen.miles.yahoo.com,not-married,175,97,31,79,145,0,dry-mouth,2015-02-09t06:37+00:00
rec-63650,f178244651,steven,alexander,green,m,64,26/4/1951, 4589  32898  2  1 , 6  miller  street  palm  garden  villas ,bundaberg,,qld, 07  3087  7148 ,jgnbtehdog@aol.com,not-married,195,91,23,73,121,1,rash,2015-06-08t13:24+00:00
rec-13215,d186332473,terry,scott,smith,m,70,22/6/1944, 4773  78639  1  2 , 20  troy  bridge  road  caringa ,dubbo,2830.0,nsw,,terry32@mail.com,married-de-facto,168,136,48,84,208,0,diarrhea,2014-05-19t04:43+00:00
rec-29107,f140213344,norman,michael,caldwell,f,12,14/9/2003, 2568  90663  2  3 , 4  main  road  garden  haven ,franklin,7113.0,tas, 03  3683  4634 ,caldwell.norman@yahoo.com,,149,47,21,72,275,0,chest-pain,2015-06-19t06:28+00:00
rec-60893,g155367408,matthew,edward,bernstein,m,27,24/3/1988, 8265  60053  1  2 , 30  meers  road  tallawalla ,eumungerie,2831.0,nsw,,,married-de-facto,197,123,31,82,196,0,fall,2015-11-03t03:52+00:00
rec-3613,d199566937,yuriy,,shouse,m,67,14/3/1949, 5344  78921  2  2 , 6  george  crescent  robertson  barracks , fannie  bay ,820.0,nt,,shouse92.yahoo.com,not-married,194,79,20,77,172,0,urinary-frequency,2016-12-26t14:43+00:00
rec-78987,e149097772,paul,keith,surface,f,26,16/2/1993, 7963  82080  2  2 , 42  feetham  court  st  james  vlge ,heatley,4814.0,qld,,,married,185,143,41,71,78,1,heart-burn,2019-12-05t23:56+00:00
rec-77303,f185638944,robert,alexander,reynolds,f,60,11/4/1955, 7334  30852  2  2 , 10  davis  road  glynde  lodge  reti ,glynde,5070.0,sa, 08  0126  5638 ,robert.reynolds@hotmail.com,not-married,195,89,23,69,290,1,hay-fever,2015-10-06t22:38+00:00
rec-19922,i128170343,edmund,lownes,glover,m,56,2/11/1959, 2444  32179  1  2 , 4  the  crescent  sit  63 , the  entrance ,2261.0,nsw, 02  3260  8173 ,,not-married,186,143,41,79,93,0,decreased-energy,2015-09-22t13:06+00:00
rec-38342,g108321227,jonathan,jovan,smith,m,37,23/11/1980, 7342  47211  2  1 , 7  stephanie  street  granny  flat ,dalkeith,6009.0,wa, 08  1045  5878 ,nlfgsnfftk@aol.com,married-de-facto,172,129,43,70,117,0,drowsiness,2017-03-14t24:32+00:00
rec-59987,i194361095,robert,tyler,howard,m,14,10/5/2002, 4102  98165  1  2 , 169  maybe  street  cascade ,bombala,2632.0,nsw,,howard80@mail.com.au,,161,67,25,79,160,0,low-energy,2016-04-20t09:18+00:00
rec-51761,h118046027,carolyn,angela,mumford,m,13,3/7/1999, 1618  88550  1  2 , 1  dog  trap  road  barton  park ,yass,2582.0,nsw, 02  0943  0470 ,,married-de-facto,153,77,32,79,54,1,diarrhea,2012-07-17t14:55+00:00
rec-23692,d112885948,kay,page,lawson,f,76,3/2/1942, 9962  40847  2  2 , 97  john  whiteway  drive  unt  808 ,gosford,2250.0,nsw,,,married-de-facto,177,108,34,85,158,0,spell-of-cough,2018-08-23t12:59+00:00
rec-53651,b113578525,becky,,stewart,f,16,6/12/1996, 2928  23295  1  3 , 1000  summerhill  road  wamara ,vacy,2421.0,nsw,,,married,161,90,34,77,187,0,type-ii-odontiod-fracture-s/p-fall,2012-09-01t16:46+00:00
rec-70752,b145434072,joseph,hunter,wells,m,59,12/4/1958, 1871  40261  2  2 , 71  bourke  road  clarinda  retirement  village ,clayton,3168.0,vic, 03  6794  4433 ,,married,194,107,28,77,129,0,emphysema,2017-01-26t22:05+00:00
rec-12611,h160538517,donna,elizabeth,cooper,f,42,23/5/1970, 2411  48713  2  1 , 22  mitchell  street  central  specialist  clinic ,darwin,800.0,nt,,,married,194,137,36,70,301,0,increased-urinary-frequency,2012-01-01t03:13+00:00
rec-52716,b176433165,krystal,ann,holderness,f,18,7/12/1999, 1923  17318  1  2 , 23  bridges  road  braeside ,gerringong,2534.0,nsw, 02  1878  8438 ,,married,174,58,19,72,168,0,associated-with-two-episodes--transient-intestinal-blockages,2017-03-06t16:14+00:00
rec-71821,a140801582,henry,earl,verbal,f,42,10/4/1975, 9977  51300  1  1 , 29  cadbury  road  derwent  waters  est ,claremont,7011.0,tas,,mdmitlmljl@mail.com.au,married,170,-99,37,80,257,0,ear-infection/-upper-respiratory-infection,2017-09-12t09:49+00:00
rec-82342,i199405229,daniel,nicholas,rozier,f,33,26/12/1983, 9795  66987  2  1 , 79  methul  street  raywood ,coolamon,2701.0,nsw, 02  0544  5794 ,,married,166,62,22,72,133,0,l2-lumbar-fracture,2016-07-08t22:12+00:00
rec-66336,h118843957,jordan,t,stover,m,66,10/4/1945, 2266  64836  1  2 , 27  ferry  road  burns  point ,ballina,2478.0,nsw,,stover14.yahoo.com,divorced,187,115,32,77,74,0,muscloskeletal-pain,2014-05-15t11:19+00:00
rec-61660,i187676710,sara,gleason,reyes,f,10,14/7/2003, 2551  47474  2  3 , 26  dix  street  flt  4 ,margate,4019.0,qld, 07  8395  6180 ,qcssdmfhma@mail.com.au,,144,46,22,74,118,0,rash,2013-11-06t17:10+00:00
rec-56702,b184747083,sheryl,,mayenge,f,72,27/11/1943, 1822  40528  2  1 , 6  george  crescent  robertson  barracks , fannie  bay ,820.0,nt,,,married-de-facto,199,-99,27,73,187,0,excision-squamous-cell-cancer-left-forearm,2015-04-03t09:26+00:00
rec-84290,b118193041,dennis,william,harkness,f,70,19/7/1948, 2291  26351  2  1 , 104  government  road  harbourside  haven  vlge , shoal  bay ,2315.0,nsw, 02  7794  8154 ,dennis50@yahoo.com,married,187,96,27,73,147,0,right-hip-pain,2018-07-05t03:53+00:00
rec-91592,i154265858,elbert,dontavion,trudgen,f,52,25/11/1966, 4263  19442  1  1 , 3  osborne  avenue  flt  2 , glen  iris ,3146.0,vic,,,separated,194,-99,38,76,216,0,low-energy,2018-04-02t02:22+00:00
rec-80135,c167761748,shawn,l,jones,f,20,29/5/1999, 5439  85971  1  2 , 1060  waterworks  road  walton  way  townhouses , the  gap ,4061.0,qld, 07  5812  4211 ,bbghhjmcsj@aol.com,married,186,138,39,80,186,0,bruised-left-arm-and-hip-from-fall-on-ice,2019-01-03t16:52+00:00
rec-79578,c138263170,charles,walter,seay,f,61,2/7/1954, 9926  96294  2  1 , 60  watts  road  riversdale , yan  yean ,3755.0,vic, 03  5162  2169 ,seay6@mail.com,married,171,68,23,76,206,0,depressed-mood,2015-06-25t08:31+00:00
rec-90688,b141565248,richard,keiran,jennings,f,41,2/3/1976, 9101  22683  1  2 , 5  government  road  harcourt  road ,harcourt,3453.0,vic,,,married-de-facto,168,67,23,77,114,0,worsened-urinary-frequency,2017-07-03t18:24+00:00
rec-12386,f125529480,jameria,latoya,hudson,f,24,10/6/1991, 4154  73474  1  2 , 98  hinton  road  clearview ,hinton,2321.0,nsw, 02  6997  4181 ,,not-married,190,74,20,72,263,0,exacerbation-of-atrial-fibrllation,2015-12-23t06:12+00:00
rec-51142,i163028635,charles,jackson,dinkins,m,55,21/4/1959, 5201  79467  2  1 , 177  boomerang  beach  drive  summer  folly , pacific  palms ,2428.0,nsw,,charles.dinkins@gmail.com,married,194,113,30,72,168,0,fall,2014-04-22t06:04+00:00
rec-35688,i164548871,mark,anthony,holliday,m,53,12/10/1965, 2073  24777  2  1 , 41  handford  road  handford  rd  medical  centre ,zillmere,,qld,,,married,166,73,26,78,106,0,depressed-mood,2018-04-26t04:07+00:00
rec-44847,g111013374,michael,eugene,satterfield,m,23,30/7/1993, 6367  21143  2  3 , 6  george  crescent  robertson  barracks , fannie  bay ,820.0,nt, 08  9133  3226 ,mefgsgjcme@yahoo.com,married,166,146,52,76,265,0,drowsiness,2016-10-04t18:05+00:00
rec-5603,g121877210,christine,hanna,wilbanks,f,64,24/2/1950, 5236  80264  1  2 , 2  lempriere  avenue  the  birds  nest , mount  martha ,3934.0,vic, 03  4726  8420 ,christine26@yahoo.com,married,178,145,45,77,220,0,surgical-repair-of-torn-meniscus,2014-04-17t01:05+00:00
rec-49584,e126772686,caitlin,laraine,arreola,f,26,28/7/1992, 8491  82009  1  2 , 31  clancy  street  kalgoorlie  village  caravn  park ,boulder,,wa, 08  3505  2745 ,,not-married,191,-99,16,77,106,0,skin-rash,2018-05-22t10:05+00:00
rec-66702,b193044690,victoria,carter,green,f,15,31/8/2001, 4117  66888  2  2 , 3440  great  ocean  road  glenaire  park ,glenaire,3238.0,vic,,victoria77@hotmail.com,married-de-facto,163,89,33,78,129,0,drowsiness,2016-03-03t16:36+00:00
rec-4740,c178471488,cheryl,della,dalton,f,11,11/6/2009, 8585  37862  1  2 , 1  fleet  street  caravan  park , salamander  bay ,2317.0,nsw, 02  3767  3632 ,dalton.cheryl@hotmail.com,,135,59,32,75,193,0,surgery-to-a.)-remove-pins-from-left-hip-b.)-repair-cartilage-in-right-knee,2020-04-14t14:06+00:00
rec-83990,f197085870,patrick,lee,burling,f,12,24/7/2004, 6914  81911  1  2 , 82  piggabeen  road  cobaki  broadwater  village , tweed  heads  south ,2486.0,nsw,,patrick.burling@aol.com,,132,61,35,76,34,0,angina-pectoris,2016-11-20t11:53+00:00
rec-90124,a130814514,john,george,mollica,f,31,23/7/1987, 9227  75083  1  1 , 1  oasis  drive  oasis  village ,cobram,3644.0,vic, 03  2990  9646 ,,married,174,108,35,73,193,0,sinusitis,2018-01-25t24:21+00:00
rec-61804,i185967932,phyllis,canady,ozment,f,45,28/1/1971, 8702  74909  1  2 , 1  allambee  street  argyl  square ,reid,2612.0,act, 02  5049  9567 ,phyllis81@gmail.com,married,192,58,15,70,173,0,constipation,2016-08-16t06:19+00:00
rec-9568,d167002104,ronald,hunter,dunham,m,23,2/3/1989, 2019  64652  1  2 , 5  tiwi  gardens  road  tiwi  professional  suites ,tiwi,810.0,nt,,cftfbsgjpb.gmail.com,not-married,196,-99,23,78,152,0,s/p-left-cataract-surgery,2013-10-23t02:55+00:00
rec-73449,b181346684,mark,lamont,mackay,f,49,9/10/1965, 8589  55104  2  2 , 25  bellevue  drive  parker  street , port  macquarie ,2444.0,nsw,,,married,174,115,37,73,189,0,acute-insomnia,2014-09-17t09:54+00:00
rec-14654,a118164407,annah-claire,griffin,hostetler,f,15,27/10/1999, 8818  52597  1  2 , 15  mt  doran  road  blue  bridge ,elaine,3334.0,vic, 03  6231  0598 ,jngfctfkti@hotmail.com,married,158,92,36,75,188,0,chest-pain,2014-01-14t19:53+00:00
rec-40446,g180785071,robert,,hodges,m,42,24/11/1970, 1348  68863  2  1 , 927  maidens  brush  road  henry  kendall  village ,wyoming,2250.0,nsw, 02  6218  0795 ,hodges.robert@mail.com,not-married,168,80,28,77,184,1,headache,2012-10-25t11:01+00:00
rec-34381,f135723700,renee,jane,faircloth,f,10,26/12/2010, 3396  66703  2  2 , 349  lacmalac  road  miamurra ,tumut,2720.0,nsw, 02  2675  9856 ,,,123,53,35,70,176,0,fall-(tripped-while-doing-gardening),2020-07-12t19:01+00:00
rec-49272,b150593379,lorraine,lorena,jones,f,46,11/3/1969, 5655  40030  2  2 , 1  crestview  place  pine  ridge  est ,lisarow,,nsw, 02  3040  8652 ,lorraine75@mail.com,not-married,184,55,16,71,230,0,drowsiness,2015-02-03t24:49+00:00
rec-7784,f129058509,ruth,walker,penn,f,40,28/9/1977, 7554  50003  2  1 , 25  ney  road  hillcrest  garden ,capalaba,,qld, 07  8040  9623 ,ruth.penn@aol.com,married-de-facto,169,-99,24,73,177,0,fall,2017-01-20t05:16+00:00
rec-60726,i128098637,chasity,,blackwell,f,48,23/10/1967, 8790  80082  1  2 , 6  leichhardt  terrace  leichtodd  plaza , alice  springs ,870.0,nt, 08  3977  0625 ,blackwell47.mail.com.au,married-de-facto,167,122,43,77,268,1,fall,2018-01-13t18:57+00:00
